0,CombatZoneResizeInstant,25,165,615,387
0,HeartMode,0
0,HeartTeleport,320,280
0,Platform,50,280,55,0,96,1
0.25,SansBody,HandDown
0.125,SansSlam,1
0.25,Bonestab,1,55,0.25,32
0.25,SansBody,HandUp
0.125,SansSlam,3
0.25,Bonestab,3,55,0.25,6.25
0.25,SansBody,HandDown
0.125,SansSlam,1
0.25,SansTorso,Default
0,SansAnimation,Idle
0,BoneVRepeat,15,265,117,0,128,4,133
0,BoneVRepeat,15,196,50,0,128,4,133
0,BoneVRepeat,625,265,117,2,128,4,133
0,BoneVRepeat,625,196,50,2,128,4,133
5,Sound,BoneStab,
0,CombatZoneResize,200,150,440,387
0.875,Bonestab,3,15,0.25,16
0,PlatformRepeat,50,175,38,0,196,32,96
1,SansBody,HandUp
0.125,SansSlam,3
0.875,SansBody,HandDown
0.125,SansSlam,1
0.875,SansBody,HandUp
0.125,SansSlam,3
0.875,SansBody,HandDown
0.125,SansSlam,1
0.875,SansBody,HandUp
0.125,SansSlam,3
0.875,SansBody,HandDown
0.125,SansSlam,1
0.875,SansBody,HandUp
0.125,SansSlam,3
0.875,SansBody,HandDown
0.125,SansSlam,1
0.875,SansTorso,Default
0,SansAnimation,Idle
0.25,Sound,Ding,
0,HeartMode,0
0.25,EndAttack
